Brand,Slug
Abarth,abarth
Acura,acura
AITO,aito
AI Damani,ai-damani
Alfa Romeo,alfa-romeo
Ariel,ariel
Ashok Leyland,ashok-leyland
Aston Martin,aston-martin
Audi,audi
Aurus,aurus
Austin-Healey,austin-healey
Avatar,avatar
BAC,bac
BAIC,baic
BAW,baw
Bentley,bentley
Bentley Onyx,bentley-onyx
Bestune,bestune
Bizzarrini,bizzarrini
BMW,bmw
BMW Alpina,bmw-alpina
Brogward,brogward
Brilliance,brilliance
Bufori,bufori
Bugatti,bugatti
Buick,buick
BYD,byd
Cadillac,cadillac
Can-am,can-am
Caterham,caterham
CEVO,cevo
Changan,changan
Chery,chery
Chevrolet,chevrolet
Chrysler,chrysler
Citroen,citroen
CMC,cmc
Cupra,cupra
Dacia,dacia
Daewoo,daewoo
Dallara,dallara
Datsun,datsun
Dayun,dayun
DeLorean,delorean
Denza,denza
Devinci,devinci
DFSK,dfsk
Dodge,dodge
DongFeng,dongfeng
Doreen,doreen
Entegra,entegrа
Equus,equus
Exeed,exeed
Faw,faw
Fengon,fengon
Fenyr,fenyr
Ferrari,ferrari
Ferrari Onyx,ferrari-onyx
Fiat,fiat
Fisker,fisker
Force,force
Ford,ford
Forthing,forthing
Foton,foton
Fuso,fuso
GAC,gac
GAC Gonow,gac-gonow
Geely,geely
Genesis,genesis
Genty,genty
GMC,gmc
Grand Tiger,grand-tiger
Great Wall,great-wall
Gumpert,gumpert
GWM,gwm
Haval,haval
Higer,higer
Hino,hino
HiPhi,hiphi
Holden,holden
Honda,honda
Hong,hong
Hummer,hummer
Hycan,hycan
Hyundai,hyundai
INEOS,ineos
Infiniti,infiniti
International,international
Isuzu,isuzu
Iveco,iveco
JAC,jac
JAECOO,jaecoo
Jaguar,jaguar
Jeep,jeep
Jetour,jetour
Ji Yue,ji-yue
Jinbei,jinbei
JMC,jmc
Kaiyi,kaiyi
Kia,kia
King Long,king-long
Koenigsegg,koenigsegg
KTM,ktm
Lada,lada
Lamborghini,lamborghini
Lamborghini Onyx,lamborghini-onyx
Lancia,lancia
Land Rover,land-rover
Leapmotor,leapmotor
LEVC,levc
Lexus,lexus
Li Auto,li-auto
Lincoln,lincoln
Livan,livan
Lixiang,lixiang
Lotus,lotus
Lucid,lucid
Luxglynk-co,luxglynk-co
Maextro,maextro
Mahindra,mahindra
Maserati,maserati
Maxus,maxus
Maybach,maybach
Mazda,mazda
McLaren,mclaren
Mercedes-Benz,mercedes-benz
Mercedes-Maybach,mercedes-maybach
Mercedes Onyx,mercedes-onyx
Mercury,mercury
MG,mg
Milan,milan
MINI,mini
Mitsubishi,mitsubishi
Morgan,morgan
Morris,morris
Neta,neta
Nio,nio
Nissan,nissan
Noble,noble
Oldsmobile,oldsmobile
OMODA,omoda
Opel,opel
Other Make,other-make
Oullim,oullim
Pagani,pagani
PAL-V,pal-v
Peugeot,peugeot
PGO,pgo
Plymouth,plymouth
Polaris,polaris
Polestar,polestar
Pontiac,pontiac
Porsche,porsche
Proton,proton
Qiantu,qiantu
Rabdan,rabdan
RAM,ram
Renault,renault
Rezvani,rezvani
Riddara,riddara
Rivian,rivian
Roewe,roewe
Rolls-Royce,rolls-royce
Rolls-Royce Onyx,rolls-royce-onyx
Rover,rover
Rox,rox
Saab,saab
SAIC,saic
Seat,seat
Seres,seres
Shenlong/Sunlong,shenlong-sunlong
Sifu,sifu
Sinotruk,sinotruk
Skoda,skoda
Skywell,skywell
Smart,smart
Sourest,sourest
Speranza,speranza
Spyker,spyker
SsangYong,ssangyong
Stelato,stelato
Studebaker,studebaker
Subaru,subaru
Suzuki,suzuki
TAM,tam
TANK,tank
TATA,tata
Tesla,tesla
Togg,togg
Tova,tova
Toyota,toyota
Triumph,triumph
TCR,tcr
UAZ,uaz
Venere,venere
VGV,vgv
Victory,victory
Volkswagen,volkswagen
Volvo,volvo
Voyah,voyah
W Motors,w-motors
Westfield Sportscars,westfield-sportscars
WEY,wey
Wiesmann,wiesmann
Wuling,wuling
XEV,xev
Xiaomi,xiaomi
XPeng,xpeng
YangWang,yangwang
Zeekr,zeekr
Zenvo,zenvo
Zhongxing,zhongxing
ZNA,zna
Zotye,zotye
ZXAUTO,zxauto
